"SbjID","Condition","RunNo","TrialNo","TrialNo_modi","CondNo","Sender","Receiver","Context","Sender_Act","Computer_Pos","Arrow_Pos","Sender_Payoff","Sender_Payoff_Disp_Left","Sender_Payoff_Disp_Right","Sender_Kept","Sender_Bribe","Decision","Button","DT","Adv_Pos","Opt_Pos","Sender_Payoff_Final","Receiver_Payoff_Final","You_Payoff_Final","ITI","Zerotime","SessionStartTime","Info_Onset","Decision_Onset","Response_Onset","ITI_Onset","Warning_Onset","sender_inappro","sender_lie","you_conf","you_inappro","SbjID_fMRI","Age","Gender","Education","Major","Handedness","Scanning_date","Scanning_time","Gun_selected","Charity_selected","Task_selected","Run_selected","Trial_selected","Trial_self_selected","Trial_charity_selected","Task1_payoff_sbj","Task1_payoff_sender","Task1_payoff_receiver","Task2_payoff_sbj","Task2_payoff_charity","Task2_payoff_gun","Payoff_showup","Payoff_final","Mach_total","Mach_M","Mach_T","Mach_V","JSS_total","JSS_beneficiary","JSS_observer","JSS_perpetrator","JSS_victim","DonaPref_total"
1,"solo_lie",1,14,14,2,"A.W.","T.H.","solo","lie","right","left",96,96,4,38,58,"accept","left",7268,1,1,38,4,58,3000,1116,24169,187523,189028,196296,196817,-999,100,80,100,100,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_lie",1,15,15,4,"Y.G.","J.K.","dyad","lie","right","left",80,80,20,32,48,"accept","left",5396,1,1,32,20,48,3500,1116,24169,199826,201348,206744,207265,-999,90,80,100,80,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_honesty",1,16,16,1,"J.P.","P.O.","solo","honesty","left","left",88,88,12,35,53,"accept","left",4216,1,1,35,12,53,6000,1116,24169,210776,212280,216496,217028,-999,0,50,0,0,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_honesty",1,17,17,3,"B.Z.","A.X.","dyad","honesty","right","right",96,4,96,10,86,"accept","left",5369,2,1,10,4,86,4500,1116,24169,223046,224550,229919,230451,-999,0,50,0,50,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_lie",1,18,18,2,"F.R.","Z.L.","solo","lie","left","right",72,28,72,29,43,"accept","left",5874,2,1,29,28,43,5500,1116,24169,234965,236469,242343,242872,-999,100,80,100,100,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_honesty",1,19,19,1,"M.T.","B.J.","solo","honesty","left","left",80,80,20,48,32,"accept","left",1330,1,1,48,20,32,6500,1116,24169,248388,249893,251223,251748,-999,0,50,0,0,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_lie",1,20,20,2,"J.N.","Q.L.","solo","lie","left","right",80,20,80,56,24,"reject","right",6201,2,1,0,80,0,6000,1116,24169,258268,259789,265990,266526,-999,100,80,100,100,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_honesty",1,21,21,3,"Z.T.","D.F.","dyad","honesty","right","right",88,12,88,70,18,"accept","left",4526,2,1,70,12,18,5500,1116,24169,272544,274048,278574,279096,-999,0,50,0,50,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_honesty",1,22,22,3,"B.P.","G.R.","dyad","honesty","right","right",64,36,64,45,19,"accept","left",6160,2,1,45,36,19,4500,1116,24169,284613,286117,292277,292804,-999,0,50,0,50,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_lie",1,23,23,2,"A.M.","W.T.","solo","lie","right","left",96,96,4,48,48,"accept","left",2863,1,1,48,4,48,5500,1116,24169,297318,298822,301685,302215,-999,100,80,100,100,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
